tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vy,my_vz,my_hurt,my_health,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,tgt_health,out_w,out_a,out_s,out_d,out_sprint,out_jump,out_left_click,out_right_click
220868,491139.5852178203,82.0,4117.300540151626,261.426,1.542,1,0.039,0.0,-0.0675,0,17.3,491142.60828189296,82.39081790123456,4116.407278806584,3.176,0.173,-0.0635,8,9.5,1,1,0,0,0,0,1,0
220869,491139.6836149193,82.0,4117.159035137206,265.333,0.308,1,0.0984,0.0,-0.1415,0,17.3,491142.8013545953,82.53137860082303,4116.33401920439,3.269,0.1931,-0.0733,7,9.5,1,1,0,0,1,0,0,0
220870,491139.8213426015,82.0,4116.982558918482,266.464,-1.953,1,0.1377,0.0,-0.1765,0,17.3,491142.9944272976,82.67193930041151,4116.260759602195,3.323,0.1931,-0.0733,6,9.5,1,1,0,0,0,0,1,0
220871,491139.98250646284,82.0,4116.788683203558,266.259,-4.215,1,0.1612,0.0,-0.1939,0,17.3,491143.1525348651,82.77087620027434,4116.19467306813,3.316,0.1581,-0.0661,5,9.5,1,1,0,0,1,0,0,0
220872,491140.1209686928,82.0,4116.627386542497,263.688,-5.655,1,0.1385,0.0,-0.1613,0,17.3,491143.31064243254,82.86981310013718,4116.128586534065,3.344,0.1581,-0.0661,4,9.5,1,1,0,0,1,0,1,0
220873,491140.2778007925,82.0,4116.437822738025,260.398,-6.374,1,0.1568,0.0,-0.1896,0,17.3,491143.41542828834,82.85070873342478,4116.085724356043,3.27,0.1048,-0.0429,3,9.5,1,1,0,0,1,0,0,0
220874,491140.40435977816,82.0,4116.269665772716,260.81,-6.374,1,0.1266,0.0,-0.1682,0,17.3,491143.52021414414,82.83160436671238,4116.042862178021,3.233,0.1048,-0.0429,2,9.5,1,1,0,0,1,0,1,0
220875,491140.549452988,82.0,4116.072375955269,263.688,-3.496,1,0.1451,0.0,-0.1973,0,17.3,491143.5759760961,82.65856957780825,4116.018158118681,3.098,0.0558,-0.0247,10,8.0,1,1,0,0,1,0,0,0
220876,491140.69848134636,82.0,4116.088975516862,266.978,-1.234,1,0.149,0.0,0.0166,0,17.3,491143.79023406404,82.55362971853883,4115.980855412454,3.143,0.2143,-0.0373,9,8.0,1,0,0,1,1,0,1,0
220877,491140.80047440046,82.0,4116.116558827712,265.744,2.879,1,0.102,0.0,0.0276,0,17.3,491144.004492032,82.44868985926942,4115.943552706227,3.24,0.2143,-0.0373,8,9.0,1,0,0,1,0,0,0,0
220878,491140.9547298842,82.0,4116.216380675983,265.333,2.879,1,0.1543,0.0,0.0998,0,17.3,491144.252994688,82.56995990617962,4115.910285137485,3.361,0.2485,-0.0333,7,9.0,1,0,0,1,1,0,1,0
220879,491141.06010788865,82.0,4116.2887944954655,263.688,2.673,1,0.1054,0.0,0.0724,0,17.3,491144.501497344,82.69122995308982,4115.877017568742,3.534,0.2485,-0.0333,6,9.0,1,0,0,1,0,0,0,0
220880,491141.2191401031,82.0,4116.409564158791,259.267,0.925,1,0.159,0.0,0.1208,0,17.3,491144.75,82.8125,4115.84375,3.667,0.2485,-0.0333,5,9.0,1,0,0,1,1,0,1,0
