update,lifetime,rounds,timeouts,winrate,wr_old,wr_new,wr_script,wr_pin,dealt,taken,hits,mean_combo,max_combo,blk,clk,jmp,whiff,aim_bias,avg_reward,ploss,vloss,staleness,wr_turtle,wr_rusher,wr_kiter,wr_boxer,ent_move,ent_click,ent_block,ent_jump,aim_std,res_yaw,res_pitch,move_top,move_top_frac,wr_trader,mean_combo_taken,max_combo_taken,first_blood,trade_frac,blk_eff,idle_frac,ties,wr_gear_up,wr_gear_dn
156,1191,24,0,0.75,0.5714285714285714,0.5,0.9230769230769231,0.8571428571428571,414.4511920530003,305.50598931000013,160,1.8875,7,0.2841796875,0.95751953125,0.02294921875,0.11646586345381527,0.21887117702912115,12.092370339523649,-0.03359804302453995,8.040901184082031,1.00634765625,0.75,1.0,1.0,1.0,0.5835878849029541,0.13170967996120453,0.40901994705200195,0.0,0.36345744132995605,-0.36283260583877563,1.2846722602844238,0,0.6650390625,1.0,1.2376237623762376,4,0.6666666666666666,0.5125,0.009900990099009901,0.0078125,2,1.0,0.3333333333333333
157,1192,22,0,0.8181818181818182,1.0,0.6666666666666666,0.8333333333333334,1.0,404.573393318,285.3035924000002,165,1.9272727272727272,7,0.294921875,0.94189453125,0.025390625,0.09722222222222222,0.018744508719823704,14.013878190737332,0.10055480152368546,6.61936092376709,1.0029296875,0.8333333333333334,0.0,1.0,nan,0.7043678760528564,0.1516985297203064,0.4213368892669678,0.0,0.36370596289634705,-0.27482151985168457,1.17766535282135,0,0.65087890625,1.0,1.2446808510638299,4,0.6818181818181818,0.46060606060606063,0.02127659574468085,0.0078125,0,1.0,0.6
158,1193,23,0,0.6956521739130435,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,401.80879175,277.08959554999996,150,2.3,10,0.30029296875,0.931640625,0.0244140625,0.14682539682539683,0.15496642844232925,12.336243423617727,0.0737207904458046,6.058887004852295,1.00244140625,1.0,1.0,1.0,1.0,0.6231446266174316,0.17302390933036804,0.4155923128128052,0.0,0.3641396760940552,-0.33576714992523193,1.1538944244384766,0,0.6240234375,1.0,1.2098765432098766,2,0.6521739130434783,0.42,0.024691358024691357,0.01416015625,1,1.0,0.7
159,1194,23,0,0.6521739130434783,0.3333333333333333,0.42857142857142855,1.0,0.75,408.5484018565817,323.82559148999985,171,1.7894736842105263,8,0.22705078125,0.9482421875,0.02001953125,0.17142857142857143,0.41645835350130433,10.591041328788256,-0.06829048693180084,5.524265766143799,1.00634765625,1.0,1.0,nan,1.0,0.5258660912513733,0.1447906643152237,0.36841168999671936,0.0,0.36441701650619507,-0.4571465253829956,1.2227470874786377,0,0.73876953125,1.0,1.2035398230088497,3,0.6363636363636364,0.631578947368421,0.02654867256637168,0.009765625,4,1.0,0.6
160,1195,22,0,0.6818181818181818,0.5714285714285714,0.5,0.8888888888888888,0.5,395.72638341,308.7079921700002,161,1.84472049689441,8,0.25341796875,0.927734375,0.02001953125,0.12265758091993186,0.19126377811210227,10.317687109493598,0.11980528384447098,6.416431427001953,1.0029296875,1.0,1.0,nan,1.0,0.6362997889518738,0.17976006865501404,0.3891562223434448,0.0,0.36505404114723206,-0.40075087547302246,1.2534575462341309,0,0.71630859375,0.5,1.2477064220183487,4,0.7727272727272727,0.5279503105590062,0.0,0.0087890625,2,1.0,0.3333333333333333
161,1196,20,0,0.6,0.4,0.2857142857142857,1.0,0.8,380.8443847100002,295.26279459000017,142,1.6408450704225352,8,0.26416015625,0.91064453125,0.01513671875,0.1400862068965517,0.3184582055417339,8.079847547377119,-0.006643187254667282,5.445949554443359,1.00634765625,1.0,1.0,nan,1.0,0.6435593366622925,0.1871892213821411,0.37824156880378723,0.0,0.3654935359954834,-0.4394299387931824,1.2714625597000122,0,0.69580078125,1.0,1.2641509433962264,3,0.5714285714285714,0.6408450704225352,0.018867924528301886,0.01025390625,3,0.75,0.3333333333333333
162,1197,23,0,0.8260869565217391,0.6666666666666666,0.8571428571428571,0.9,0.9230769230769231,398.29820161000004,299.6559949300001,142,1.6971830985915493,8,0.29296875,0.9189453125,0.0224609375,0.15128205128205127,0.2382968311685358,11.551795017629685,-0.006469737738370895,4.7410993576049805,1.00341796875,1.0,1.0,1.0,0.5,0.6949899196624756,0.22711926698684692,0.43311136960983276,0.0,0.36512017250061035,-0.35406070947647095,1.1441528797149658,0,0.66162109375,1.0,1.2524271844660195,4,0.6521739130434783,0.5633802816901409,0.019417475728155338,0.01318359375,0,1.0,0.5
163,1198,20,0,0.8,0.5,0.8,1.0,0.8888888888888888,359.93558920000004,276.22579488000025,136,1.8897058823529411,6,0.31201171875,0.9033203125,0.021484375,0.18137254901960784,-0.008399016988854726,11.169605905675642,0.09139405190944672,6.600045680999756,1.0029296875,1.0,1.0,nan,1.0,0.7263206243515015,0.253861665725708,0.4517463445663452,0.0,0.3651164174079895,-0.31828415393829346,1.1077631711959839,0,0.60888671875,1.0,1.2772277227722773,4,0.7,0.5294117647058824,0.009900990099009901,0.01806640625,0,1.0,1.0
164,1199,23,0,0.6956521739130435,0.2,0.6666666666666666,0.9166666666666666,0.7142857142857143,397.84079308,322.0835948,139,1.7266187050359711,9,0.2763671875,0.9033203125,0.0234375,0.14634146341463414,0.2648573003043506,9.411177935451935,-0.001993798650801182,5.186290740966797,1.00341796875,1.0,nan,nan,1.0,0.5745779275894165,0.20307372510433197,0.3921012580394745,0.0,0.365052193403244,-0.43449661135673523,1.2421495914459229,0,0.68310546875,0.75,1.2788461538461537,3,0.6521739130434783,0.5323741007194245,0.019230769230769232,0.0166015625,3,0.75,0.5
165,1200,21,0,0.6190476190476191,0.5714285714285714,0.3333333333333333,0.875,0.6,356.8599909900002,276.8915906000001,145,2.2344827586206897,9,0.27783203125,0.91650390625,0.01513671875,0.12311557788944724,0.2190705249168684,9.038712435097997,0.03338233754038811,6.941296577453613,1.0029296875,0.0,1.0,nan,1.0,0.6608560085296631,0.20741407573223114,0.387469619512558,0.0,0.3655794858932495,-0.43562260270118713,1.220085620880127,0,0.66650390625,1.0,1.1797752808988764,3,0.3,0.5724137931034483,0.02247191011235955,0.0126953125,2,0.3333333333333333,0.4
166,1201,23,0,0.5217391304347826,0.25,0.4444444444444444,0.7,0.25,397.01799357999994,315.6359939999999,155,1.9935483870967743,11,0.23095703125,0.91748046875,0.021484375,0.12476370510396975,0.18959598004232286,6.184590193970569,0.06984400749206543,6.265304088592529,1.0029296875,0.4,1.0,nan,1.0,0.6287835836410522,0.1736207902431488,0.37185943126678467,0.0,0.36549264192581177,-0.47835034132003784,1.3234449625015259,0,0.677734375,1.0,1.2376237623762376,3,0.625,0.4967741935483871,0.019801980198019802,0.0107421875,2,1.0,0.4444444444444444
167,1202,23,0,0.5217391304347826,0.3,0.6,0.75,0.3333333333333333,408.77439185600053,341.36439320000005,153,1.5032679738562091,5,0.2138671875,0.94140625,0.0166015625,0.11324376199616124,0.24326214238849814,5.471625994188178,-0.03121059201657772,6.734434127807617,1.0029296875,1.0,1.0,1.0,0.5,0.5709712505340576,0.15712663531303406,0.36345720291137695,0.0,0.3658592998981476,-0.513481080532074,1.415041446685791,0,0.7099609375,0.6666666666666666,1.2704918032786885,4,0.6818181818181818,0.6405228758169934,0.00819672131147541,0.00537109375,4,0.6666666666666666,0.0
168,1203,20,0,0.65,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.5714285714285714,359.60439744999996,277.65399180000003,149,1.9664429530201342,8,0.251953125,0.927734375,0.02392578125,0.10905730129390019,0.17685314487458886,9.820188931984607,-0.14597246050834656,7.780505180358887,1.00341796875,1.0,nan,1.0,0.8,0.5532457828521729,0.1946512758731842,0.40068525075912476,0.0,0.3665429949760437,-0.4380881190299988,1.314687967300415,0,0.6328125,1.0,1.1914893617021276,3,0.5714285714285714,0.4697986577181208,0.07446808510638298,0.0087890625,1,0.6666666666666666,0.3333333333333333
169,1204,21,0,0.7619047619047619,0.8,0.625,0.875,0.3333333333333333,379.3119893900001,281.54599843000005,150,1.6933333333333334,6,0.22607421875,0.92626953125,0.0166015625,0.12882096069868995,0.11557909104314355,11.189832300269673,0.07550285756587982,5.013735294342041,1.0029296875,1.0,1.0,0.5,1.0,0.6489853858947754,0.18156805634498596,0.39580315351486206,0.0,0.36676257848739624,-0.4225577712059021,1.3063437938690186,0,0.69873046875,1.0,1.2,3,0.5714285714285714,0.5866666666666667,0.02,0.01416015625,2,1.0,0.25
170,1205,26,0,0.5769230769230769,0.2,0.5714285714285714,1.0,0.5555555555555556,453.70518597000034,350.93578645000025,165,1.6787878787878787,8,0.26611328125,0.93994140625,0.01904296875,0.126232741617357,0.2888822302591022,7.562916982346947,0.12456665933132172,7.529994964599609,1.0029296875,nan,nan,1.0,1.0,0.4846549928188324,0.18588323891162872,0.3889816999435425,0.0,0.3671736717224121,-0.47331976890563965,1.3764595985412598,0,0.69091796875,1.0,1.1637931034482758,2,0.5384615384615384,0.6424242424242425,0.008620689655172414,0.009765625,3,1.0,0.2
171,1206,22,0,0.7727272727272727,0.8,0.5714285714285714,0.9,0.25,406.93598861,298.7099929800001,155,1.903225806451613,8,0.248046875,0.92578125,0.0205078125,0.17419354838709677,0.10669712722454007,12.271510781561808,0.015259587205946445,6.340300559997559,1.00537109375,1.0,1.0,1.0,nan,0.5160715579986572,0.2073061317205429,0.38252872228622437,0.0,0.36708366870880127,-0.4470854699611664,1.353346824645996,0,0.68994140625,0.8,1.32,5,0.6818181818181818,0.5483870967741935,0.02,0.009765625,2,0.8,0.25
172,1207,25,0,0.6,0.45454545454545453,0.5,0.875,0.75,427.00598866999985,352.80159185699995,159,1.7421383647798743,7,0.2314453125,0.91650390625,0.0166015625,0.1308641975308642,0.404677780448824,7.470343820919223,0.10806403309106827,10.187128067016602,1.0029296875,1.0,0.0,1.0,1.0,0.5136423110961914,0.20891037583351135,0.330369770526886,0.0,0.3668479323387146,-0.5221818089485168,1.488379955291748,0,0.697265625,nan,1.2818181818181817,4,0.625,0.6289308176100629,0.03636363636363636,0.0078125,3,0.3333333333333333,0.5
173,1208,24,0,0.6666666666666666,0.42857142857142855,0.42857142857142855,1.0,1.0,437.7783868299997,342.14278637000007,168,1.6369047619047619,7,0.1904296875,0.92578125,0.015625,0.12374581939799331,0.18616237022811138,9.778703667467488,-0.027295531705021858,6.632081985473633,1.00634765625,1.0,1.0,1.0,1.0,0.4610998332500458,0.18519368767738342,0.3258485198020935,0.0,0.3668586015701294,-0.5178595781326294,1.580603837966919,0,0.744140625,1.0,1.180327868852459,3,0.6,0.6309523809523809,0.01639344262295082,0.0068359375,4,0.8,0.5714285714285714
