player_yaw,player_pitch,target_dist,ideal_yaw,ideal_pitch,yaw_error,pitch_error,on_ground,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
168.29,1.9,2.933,164.5,-7.51,-3.79,-9.42,1,0,0,0,0,0,0,0
166.75,3.55,3.018,163.97,-4.32,-2.77,-7.87,1,1,0,0,0,0,0,0
164.8,6.22,3.074,163.4,-0.16,-1.4,-6.38,1,1,0,0,0,0,0,0
162.53,9.2,3.162,163.01,2.44,0.47,-6.76,1,1,0,0,0,0,0,0
162.33,9.41,3.177,162.89,3.39,0.56,-6.02,1,1,0,0,0,0,0,0
161.61,9.41,3.139,162.86,4.08,1.26,-5.33,1,1,0,0,0,0,0,0
161.61,6.43,3.069,162.82,4.23,1.21,-2.2,1,1,0,0,0,0,0,0
161.81,4.47,3.031,162.78,4.34,0.97,-0.14,1,1,0,0,0,0,0,0
163.25,0.98,2.865,162.96,5.64,-0.3,4.66,1,1,0,0,0,0,0,0
163.36,-0.77,2.708,163.04,6.92,-0.32,7.69,1,1,0,0,0,0,0,0
163.87,-2.31,2.563,163.09,8.31,-0.78,10.62,1,1,0,0,0,0,1,0
163.15,-0.87,2.769,163.16,14.67,0.01,15.54,0,1,0,0,0,0,0,0
163.15,1.8,2.836,163.24,19.29,0.09,17.49,0,0,0,0,0,0,0,0
162.94,5.61,2.852,163.27,22.4,0.32,16.8,0,0,0,0,0,0,0,0
163.05,7.35,2.791,163.2,24.47,0.15,17.11,0,1,0,0,0,0,1,0
162.22,9.62,2.589,163.09,26.21,0.87,16.6,0,1,0,0,0,0,0,0
161.92,9.82,2.379,163.22,26.46,1.3,16.64,0,1,0,0,0,0,0,0
161.2,10.44,2.12,163.39,25.35,2.19,14.92,0,1,0,0,0,0,0,0
161.51,7.56,1.935,163.48,21.0,1.98,13.44,0,1,0,0,0,0,0,0
162.02,5.3,1.755,163.43,14.38,1.41,9.09,1,1,0,0,0,0,0,0
163.05,2.42,1.557,163.5,16.14,0.45,13.72,1,1,0,0,0,0,0,0
163.25,2.21,1.338,163.57,18.63,0.32,16.42,1,1,0,0,0,0,0,0
163.36,2.93,1.072,163.67,22.83,0.32,19.9,1,1,0,0,0,0,0,0
163.56,3.24,0.822,163.82,28.78,0.25,25.54,1,1,0,0,0,0,0,0
163.56,3.24,0.558,164.04,38.99,0.48,35.75,1,1,0,0,0,0,0,0
163.56,3.24,0.288,164.65,57.65,1.09,54.41,1,1,0,0,0,0,0,0
163.56,3.24,0.033,-165.65,88.51,30.79,85.26,1,1,0,0,0,0,0,0
163.56,3.24,0.27,-17.84,59.3,178.6,56.06,1,1,0,0,0,0,0,0
163.56,3.24,0.548,-17.17,39.52,179.27,36.28,1,1,0,0,0,0,0,0
163.56,3.24,1.122,-16.87,40.31,179.57,37.07,0,1,0,0,0,0,0,0
163.56,3.24,1.531,-16.8,42.5,179.64,39.26,0,1,0,0,0,0,0,0
163.56,3.24,1.905,-16.75,42.21,179.69,38.97,0,1,0,0,0,0,0,0
163.56,3.24,2.236,-16.71,40.58,179.72,37.34,0,1,0,0,0,0,0,0
163.56,3.24,2.502,-16.69,38.35,179.75,35.11,0,0,0,0,0,0,0,0
163.56,3.24,2.708,-16.67,35.47,179.76,32.23,0,0,0,0,0,0,0,0
163.56,3.24,2.867,-16.66,31.93,179.78,28.69,0,0,0,0,0,0,0,0
-27.55,3.6,5.439,-25.64,4.42,1.91,0.82,1,1,0,0,1,0,0,0
-27.55,3.6,5.037,-27.93,4.77,-0.38,1.17,1,1,0,0,1,0,0,0
-27.96,4.52,4.619,-30.73,5.2,-2.77,0.67,1,1,0,0,1,0,0,0
-27.55,7.4,4.207,-34.07,5.7,-6.52,-1.7,1,1,0,0,1,0,0,0
-27.55,7.4,3.801,-38.23,6.31,-10.68,-1.1,1,1,0,0,1,0,0,0
