tick,player_x,player_y,player_z,player_yaw,player_pitch,on_ground,my_vx,my_vz,my_hurt,target_x,target_y,target_z,target_dist,tgt_vx,tgt_vz,tgt_hurt,out_w,out_a,out_s,out_d,out_sprint,out_left_click,out_right_click
187,490127.8403902316,73.0,5145.079836881436,180.514,2.467,1,-0.0271,-0.2684,0,490127.2295046424,73.0,5117.309022831594,27.778,-0.0108,0.2847,0,1,0,0,0,0,0,0
188,490127.82654499536,73.0,5144.805915956755,181.748,1.748,1,-0.0138,-0.2739,0,490127.23633642826,73.0,5117.591431887729,27.221,0.0068,0.2824,0,1,0,0,0,0,0,0
189,490127.91354911384,73.0,5144.567149089503,182.056,0.0,1,0.087,-0.2388,0,490127.2431682141,73.0,5117.873840943865,26.702,0.0068,0.2824,0,1,0,0,1,0,0,0
190,490128.05616257,73.0,5144.348158252533,182.673,-0.514,1,0.1426,-0.219,0,490127.2558621427,73.0,5118.15547729591,26.205,0.0127,0.2816,0,1,0,0,1,0,0,0
191,490128.23008486244,73.0,5144.140991491531,182.673,-1.234,1,0.1739,-0.2072,0,490127.2685560713,73.0,5118.437113647955,25.722,0.0127,0.2816,0,1,0,0,1,0,0,0
192,490128.3309072497,73.0,5143.900613331175,186.066,-4.832,1,0.1008,-0.2404,0,490127.2727873809,73.0,5118.71849243197,25.204,0.0042,0.2814,0,1,0,0,0,0,0,0
193,490128.3042583536,73.0,5143.668245921387,186.58,-1.645,1,-0.0266,-0.2324,0,490127.2770186905,73.0,5118.999871215985,24.69,0.0042,0.2814,0,1,1,0,0,0,0,0
194,490128.2087881109,73.0,5143.4396287459695,186.888,-0.925,1,-0.0955,-0.2286,0,490127.28884579364,73.0,5119.291580810656,24.166,0.0118,0.2917,0,1,1,0,0,0,0,0
195,490128.0763672201,73.0,5143.212564591963,187.094,-0.308,1,-0.1324,-0.2271,0,490127.3006728968,73.0,5119.583290405328,23.642,0.0118,0.2917,0,1,1,0,0,0,0,0
196,490127.924085315,73.0,5142.986102533487,185.86,0.72,1,-0.1523,-0.2265,0,490127.3046152645,73.0,5119.868026936885,23.126,0.0039,0.2847,0,1,1,0,0,0,1,0
197,490127.75877696776,73.0,5142.761710352838,184.215,0.103,1,-0.1653,-0.2244,0,490127.30855763226,73.0,5120.152763468443,22.613,0.0039,0.2847,0,1,1,0,0,0,0,0
198,490127.58345524647,73.0,5142.540885447782,183.701,-0.411,1,-0.1753,-0.2208,0,490127.3202884215,73.0,5120.435175645628,22.107,0.0117,0.2824,0,1,1,0,0,0,1,0
199,490127.401914727,73.0,5142.32266358379,184.112,-1.851,1,-0.1815,-0.2182,0,490127.3320192108,73.0,5120.717587822814,21.605,0.0117,0.2824,0,1,1,0,0,0,0,0
200,490127.2175795358,73.0,5142.105338273246,184.318,-2.056,1,-0.1843,-0.2173,0,490127.33592947386,73.0,5121.009641881876,21.096,0.0039,0.2921,0,1,1,0,0,0,1,0
201,490127.0321711509,73.0,5141.888111370165,186.786,-3.804,1,-0.1854,-0.2172,0,490127.33983973693,73.0,5121.301695940938,20.589,0.0039,0.2921,0,1,1,0,0,0,0,0
202,490126.8504872909,73.0,5141.667389605234,188.122,-3.598,1,-0.1817,-0.2207,0,490127.3515598246,73.0,5121.586547293959,20.087,0.0117,0.2849,0,1,1,0,0,0,0,0
203,490126.7692077489,73.0,5141.420742110363,187.402,-2.57,1,-0.0813,-0.2466,0,490127.3632799123,73.0,5121.871398646979,19.558,0.0117,0.2849,0,1,0,0,0,0,0,0
204,490126.7411997697,73.0,5141.159728760903,186.786,-1.645,1,-0.028,-0.261,0,490127.3255199415,73.0,5122.1434324313195,19.025,-0.0378,0.272,0,1,0,0,0,0,0,0
205,490126.7409204877,73.0,5140.890703151596,188.019,-2.365,1,-0.0003,-0.269,0,490127.28775997076,73.0,5122.41546621566,18.483,-0.0378,0.272,0,1,0,0,0,0,1,0
206,490126.84474041674,73.0,5140.665575673683,186.683,-1.131,1,0.1038,-0.2251,0,490127.2647566472,73.0,5122.693644143773,17.977,-0.023,0.2782,0,1,0,0,1,0,0,0
207,490127.00341843604,73.0,5140.4620486347685,184.112,-0.206,1,0.1587,-0.2035,0,490127.2417533236,73.0,5122.971822071886,17.492,-0.023,0.2782,0,1,0,0,1,0,0,0
208,490127.1882328036,73.0,5140.265708802539,182.776,-0.103,1,0.1848,-0.1963,0,490127.2236688824,73.0,5123.252048047924,17.014,-0.0181,0.2802,0,1,0,0,1,0,0,0
209,490127.2016911569,73.0,5140.062317645931,182.159,0.206,1,0.0135,-0.2034,0,490127.2055844412,73.0,5123.532274023963,16.53,-0.0181,0.2802,0,1,1,0,0,0,1,0
210,490127.1205613153,73.0,5139.856021028022,181.645,0.103,1,-0.0811,-0.2063,0,490127.19955629413,73.0,5123.823599349308,16.033,-0.006,0.2913,0,1,1,0,0,0,0,0
211,490126.98691344063,73.0,5139.64895639238,181.131,0.411,1,-0.1336,-0.2071,0,490127.19352814707,73.0,5124.114924674654,15.535,-0.006,0.2913,0,1,1,0,0,0,1,0
212,490126.823725421,73.0,5139.442298777802,181.645,-0.411,1,-0.1632,-0.2067,0,490127.181102098,73.0,5124.399533116436,15.047,-0.0124,0.2846,0,1,1,0,0,0,0,0
213,490126.64527377585,73.0,5139.235037037955,180.411,0.617,1,-0.1785,-0.2073,0,490127.168676049,73.0,5124.6841415582185,14.56,-0.0124,0.2846,0,1,1,0,0,0,0,0
214,490126.45648106345,73.0,5139.029385949391,178.972,1.234,1,-0.1888,-0.2057,0,490127.16453403264,73.0,5124.966511038812,14.081,-0.0041,0.2824,0,1,1,0,0,0,0,0
215,490126.4436165021,73.0,5138.823500131608,178.252,2.056,1,-0.0129,-0.2059,0,490127.1603920163,73.0,5125.248880519406,13.594,-0.0041,0.2824,0,1,0,0,1,0,0,0
216,490126.52565330866,73.0,5138.616386110683,179.383,1.131,1,0.082,-0.2071,0,490127.1590113442,73.0,5125.5409203462705,13.091,-0.0014,0.292,0,1,0,0,1,0,0,0
217,490126.6684380242,73.0,5138.502099231337,179.486,1.028,1,0.1428,-0.1143,0,490127.1576306721,73.0,5125.832960173135,12.679,-0.0014,0.292,0,0,0,0,1,0,0,0
218,490126.8443943279,73.0,5138.438796620562,179.589,0.822,1,0.176,-0.0633,0,490127.1467537814,73.0,5126.11780678209,12.325,-0.0109,0.2848,0,0,0,0,1,0,0,0
219,490126.8478402818,73.0,5138.313017273921,179.383,1.131,1,0.0034,-0.1258,0,490127.13587689074,73.0,5126.4026533910455,11.914,-0.0109,0.2848,0,1,1,0,0,0,0,0
220,490126.754795293,73.0,5138.153552849277,180.617,0.617,1,-0.093,-0.1595,0,490127.1218345938,73.0,5126.685102260697,11.474,-0.014,0.2824,0,1,1,0,0,0,0,0
221,490126.61306120333,73.0,5137.973579652508,181.439,0.617,1,-0.1417,-0.18,0,490127.1077922969,73.0,5126.9675511303485,11.017,-0.014,0.2824,0,1,1,0,0,0,0,0
222,490126.44603412907,73.0,5137.781162175274,182.365,0.72,1,-0.167,-0.1924,0,490127.1031115313,73.0,5127.249200753566,10.552,-0.0047,0.2816,0,1,1,0,0,0,0,0
223,490126.2666518542,73.0,5137.580586187031,183.29,0.925,1,-0.1794,-0.2006,0,490127.0984307657,73.0,5127.530850376783,10.084,-0.0047,0.2816,0,1,1,0,0,0,0,0
224,490126.2656995124,73.0,5137.38451039232,183.804,0.925,1,-0.001,-0.1961,0,490127.0864538438,73.0,5127.822650251189,9.597,-0.012,0.2918,0,1,0,0,1,0,0,0
225,490126.36348638596,73.0,5137.283912503599,184.113,0.925,1,0.0978,-0.1006,0,490127.07447692193,73.0,5128.114450125595,9.197,-0.012,0.2918,0,0,0,0,1,0,0,0
226,490126.5146341353,73.0,5137.235895496768,183.907,1.028,1,0.1511,-0.048,0,490127.06006794795,73.0,5128.399216750397,8.853,-0.0144,0.2848,0,0,0,0,1,0,0,0
